trial_id,grader,data_grades,vis_grades
contour_tree_claude_run_3_prompt_0_api,Nathan,"[{""rating"": ""Correctly computed"", ""comment"": """"}, {""rating"": ""Correctly computed"", ""comment"": """"}]","[{""rating"": ""Not visualized"", ""comment"": ""Out of view""}, {""rating"": ""Not visualized"", ""comment"": ""Out of view""}, {""rating"": ""Not visualized"", ""comment"": ""Out of view""}]"
asymmetric_tensor_claude_run_1_prompt_0_api,Nathan,"[{""rating"": ""Correctly computed"", ""comment"": """"}, {""rating"": ""Correctly computed"", ""comment"": """"}]","[{""rating"": ""Correctly visualized"", ""comment"": """"}, {""rating"": ""Correctly visualized"", ""comment"": """"}]"
asymmetric_tensor_claude_run_2_prompt_0_api,Nathan,"[{""rating"": ""Correctly computed"", ""comment"": """"}, {""rating"": ""Correctly computed"", ""comment"": """"}]","[{""rating"": ""Correctly visualized"", ""comment"": """"}, {""rating"": ""Correctly visualized"", ""comment"": """"}]"
asymmetric_tensor_claude_run_3_prompt_0_api,Nathan,"[{""rating"": ""Correctly computed"", ""comment"": """"}, {""rating"": ""Correctly computed"", ""comment"": """"}]","[{""rating"": ""Correctly visualized"", ""comment"": """"}, {""rating"": ""Correctly visualized"", ""comment"": """"}]"
asymmetric_tensor_codex_run_2_prompt_0_api,Nathan,"[{""rating"": ""Correctly computed"", ""comment"": """"}, {""rating"": ""Correctly computed"", ""comment"": """"}]","[{""rating"": ""Correctly visualized"", ""comment"": """"}, {""rating"": ""Correctly visualized"", ""comment"": """"}]"
asymmetric_tensor_codex_run_3_prompt_0_api,Nathan,"[{""rating"": ""Correctly computed"", ""comment"": """"}, {""rating"": ""Correctly computed"", ""comment"": """"}]","[{""rating"": ""Correctly visualized"", ""comment"": """"}, {""rating"": ""Correctly visualized"", ""comment"": """"}]"
asymmetric_tensor_claude_run_1_prompt_1_api,Nathan,"[{""rating"": ""Correctly computed"", ""comment"": """"}, {""rating"": ""Correctly computed"", ""comment"": """"}]","[{""rating"": ""Correctly visualized"", ""comment"": """"}, {""rating"": ""Correctly visualized"", ""comment"": """"}]"
asymmetric_tensor_claude_run_2_prompt_1_api,Nathan,"[{""rating"": ""Correctly computed"", ""comment"": """"}, {""rating"": ""Correctly computed"", ""comment"": """"}]","[{""rating"": ""Correctly visualized"", ""comment"": """"}, {""rating"": ""Correctly visualized"", ""comment"": """"}]"
asymmetric_tensor_codex_run_1_prompt_1_api,Nathan,"[{""rating"": ""Correctly computed"", ""comment"": """"}, {""rating"": ""Correctly computed"", ""comment"": """"}]","[{""rating"": ""Correctly visualized"", ""comment"": """"}, {""rating"": ""Correctly visualized"", ""comment"": """"}]"
asymmetric_tensor_codex_run_0_prompt_1_api,Nathan,"[{""rating"": ""Correctly computed"", ""comment"": """"}, {""rating"": ""Correctly computed"", ""comment"": """"}]","[{""rating"": ""Correctly visualized"", ""comment"": """"}, {""rating"": ""Correctly visualized"", ""comment"": """"}]"
